Institute#Academic Program Name#Quota#Seat Type#Gender#Opening Rank#Closing Rank
Indian Institute of Technology Bombay#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#807#2070
Indian Institute of Technology Bombay#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3603#5240
Indian Institute of Technology Bombay#BS in Mathematics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#128#1560
Indian Institute of Technology Bombay#BS in Mathematics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#1847#1847
Indian Institute of Technology Bombay#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#832#1922
Indian Institute of Technology Bombay#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3194#5364
Indian Institute of Technology Bombay#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#2541#5710
Indian Institute of Technology Bombay#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#8758#10859
Indian Institute of Technology Bombay#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1498#3299
Indian Institute of Technology Bombay#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5254#7704
Indian Institute of Technology Bombay#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2#66
Indian Institute of Technology Bombay#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17#248
Indian Institute of Technology Bombay#Economics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#819#2176
Indian Institute of Technology Bombay#Economics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#3700#4680
Indian Institute of Technology Bombay#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#25#289
Indian Institute of Technology Bombay#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#443#924
Indian Institute of Technology Bombay#Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#301#762
Indian Institute of Technology Bombay#Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#1403#1797
Indian Institute of Technology Bombay#Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1566#2469
Indian Institute of Technology Bombay#Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#4789#5948
Indian Institute of Technology Bombay#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#309#1101
Indian Institute of Technology Bombay#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1052#3168
Indian Institute of Technology Bombay#Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3830#5209
Indian Institute of Technology Bombay#Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#8371#8897
Indian Institute of Technology Bombay#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#291#1129
Indian Institute of Technology Bombay#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1067#3643
Indian Institute of Technology Bombay#Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1195#1571
Indian Institute of Technology Bombay#Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#4405#4663
Indian Institute of Technology Bombay#Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3688#4213
Indian Institute of Technology Bombay#Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#8220#8579
Indian Institute of Technology Bombay#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2229#3650
Indian Institute of Technology Bombay#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6491#8056
Indian Institute of Technology Mandi#Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#10834#12104
Indian Institute of Technology Mandi#Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#18050#18113
Indian Institute of Technology Mandi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7269#9314
Indian Institute of Technology Mandi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15314#16229
Indian Institute of Technology Mandi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1927#2553
Indian Institute of Technology Mandi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4203#5287
Indian Institute of Technology Mandi#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2854#3285
Indian Institute of Technology Mandi#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5978#7161
Indian Institute of Technology Mandi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3936#5353
Indian Institute of Technology Mandi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9241#10630
Indian Institute of Technology Mandi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4795#8008
Indian Institute of Technology Mandi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12499#13903
Indian Institute of Technology Mandi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5567#7243
Indian Institute of Technology Mandi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10987#15194
Indian Institute of Technology Delhi#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1894#4317
Indian Institute of Technology Delhi#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6652#8090
Indian Institute of Technology Delhi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1301#2154
Indian Institute of Technology Delhi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3302#5520
Indian Institute of Technology Delhi#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#2196#3373
Indian Institute of Technology Delhi#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#5862#6754
Indian Institute of Technology Delhi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2023#3653
Indian Institute of Technology Delhi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5546#8281
Indian Institute of Technology Delhi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#31#105
Indian Institute of Technology Delhi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#37#521
Indian Institute of Technology Delhi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#108#189
Indian Institute of Technology Delhi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#570#931
Indian Institute of Technology Delhi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#311#572
Indian Institute of Technology Delhi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#990#1412
Indian Institute of Technology Delhi#Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#594#936
Indian Institute of Technology Delhi#Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1519#2386
Indian Institute of Technology Delhi#Engineering and Computational Mechanics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#427#1323
Indian Institute of Technology Delhi#Engineering and Computational Mechanics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2427#3526
Indian Institute of Technology Delhi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1113#2186
Indian Institute of Technology Delhi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3203#4435
Indian Institute of Technology Delhi#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3002#3966
Indian Institute of Technology Delhi#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8511#9287
Indian Institute of Technology Delhi#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#156#310
Indian Institute of Technology Delhi#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#585#852
Indian Institute of Technology Delhi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#312#385
Indian Institute of Technology Delhi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#952#1263
Indian Institute of Technology Delhi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#617#1435
Indian Institute of Technology Delhi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3543#4760
Indian Institute of Technology Delhi#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2205#3321
Indian Institute of Technology Delhi#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5408#6740
Indian Institute of Technology Delhi#Textile Technology (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4329#5928
Indian Institute of Technology Delhi#Textile Technology (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9428#11702
Indian Institute of Technology Indore#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5638#7401
Indian Institute of Technology Indore#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13110#14366
Indian Institute of Technology Indore#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#582#1212
Indian Institute of Technology Indore#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2142#2789
Indian Institute of Technology Indore#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2237#3147
Indian Institute of Technology Indore#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5011#7582
Indian Institute of Technology Indore#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3301#5513
Indian Institute of Technology Indore#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10778#12274
Indian Institute of Technology Indore#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7323#8491
Indian Institute of Technology Indore#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14163#15526
Indian Institute of Technology Kharagpur#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2572#3967
Indian Institute of Technology Kharagpur#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7653#8018
Indian Institute of Technology Kharagpur#Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#4149#4442
Indian Institute of Technology Kharagpur#Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#6397#9775
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5592#7352
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12740#13400
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#7291#9235
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#12891#15280
Indian Institute of Technology Kharagpur#Applied Geology (5 Years, Integrated Master of Science)#AI#OPEN#Gender-Neutral#9450#10568
Indian Institute of Technology Kharagpur#Applied Geology (5 Years, Integrated Master of Science)#AI#OPEN#Female-only (including Supernumerary)#16849#18377
Indian Institute of Technology Kharagpur#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Gender-Neutral#10896#15836
Indian Institute of Technology Kharagpur#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Female-only (including Supernumerary)#14378#15926
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4028#6205
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7967#10650
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#6572#7475
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#11844#12535
Indian Institute of Technology Kharagpur#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2481#3666
Indian Institute of Technology Kharagpur#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6351#8306
Indian Institute of Technology Kharagpur#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3671#4469
Indian Institute of Technology Kharagpur#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#9127#9454
Indian Institute of Technology Kharagpur#Chemistry (5 Years, Integrated Master of Science)#AI#OPEN#Gender-Neutral#6525#9694
Indian Institute of Technology Kharagpur#Chemistry (5 Years, Integrated Master of Science)#AI#OPEN#Female-only (including Supernumerary)#14040#16788
Indian Institute of Technology Kharagpur#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3286#5329
Indian Institute of Technology Kharagpur#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9369#10956
Indian Institute of Technology Kharagpur#Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#5529#6083
Indian Institute of Technology Kharagpur#Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#10932#11921
Indian Institute of Technology Kharagpur#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#180#292
Indian Institute of Technology Kharagpur#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#303#890
Indian Institute of Technology Kharagpur#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#304#503
Indian Institute of Technology Kharagpur#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#1204#1378
Indian Institute of Technology Kharagpur#Economics (5 Years, Integrated Master of Science)#AI#OPEN#Gender-Neutral#3564#5144
Indian Institute of Technology Kharagpur#Economics (5 Years, Integrated Master of Science)#AI#OPEN#Female-only (including Supernumerary)#7877#9020
Indian Institute of Technology Kharagpur#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1128#1511
Indian Institute of Technology Kharagpur#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2099#3237
Indian Institute of Technology Kharagpur#Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1546#1845
Indian Institute of Technology Kharagpur#Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#3877#4176
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#532#1110
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1569#2418
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1118#1469
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#3103#3673
Indian Institute of Technology Kharagpur#Exploration Geophysics (5 Years, Integrated Master of Science)#AI#OPEN#Gender-Neutral#7015#9236
Indian Institute of Technology Kharagpur#Exploration Geophysics (5 Years, Integrated Master of Science)#AI#OPEN#Female-only (including Supernumerary)#12959#16428
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2654#3620
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7698#9028
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3406#4384
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#9609#10105
Indian Institute of Technology Kharagpur#Instrumentation Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1551#2249
Indian Institute of Technology Kharagpur#Instrumentation Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3942#5944
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3873#4892
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10640#10856
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#5107#5734
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#11245#11404
Indian Institute of Technology Kharagpur#Mathematics and Computing (5 Years, Integrated Master of Science)#AI#OPEN#Gender-Neutral#897#1414
Indian Institute of Technology Kharagpur#Mathematics and Computing (5 Years, Integrated Master of Science)#AI#OPEN#Female-only (including Supernumerary)#2505#3215
Indian Institute of Technology Kharagpur#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#980#2477
Indian Institute of Technology Kharagpur#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5280#6387
Indian Institute of Technology Kharagpur#Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#2410#3767
Indian Institute of Technology Kharagpur#Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#8074#9680
Indian Institute of Technology Kharagpur#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3742#5550
Indian Institute of Technology Kharagpur#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9555#11776
Indian Institute of Technology Kharagpur#Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#5558#6483
Indian Institute of Technology Kharagpur#Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#12393#12677
Indian Institute of Technology Kharagpur#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5665#7132
Indian Institute of Technology Kharagpur#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12794#14391
Indian Institute of Technology Kharagpur#Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#7347#8637
Indian Institute of Technology Kharagpur#Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#15333#17678
Indian Institute of Technology Kharagpur#Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#8561#9078
Indian Institute of Technology Kharagpur#Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#14864#17883
Indian Institute of Technology Kharagpur#Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5457#7077
