Institute#Academic Program Name#Quota#Seat Type#Gender#Opening Rank#Closing Rank
Indian Institute of Technology Bombay#Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#563#966
Indian Institute of Technology Bombay#Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#2250#3007
Indian Institute of Technology Bombay#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1762#2694
Indian Institute of Technology Bombay#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4565#5524
Indian Institute of Technology Bombay#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#321#1125
Indian Institute of Technology Bombay#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2925#4566
Indian Institute of Technology Bombay#Environmental Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3005#5221
Indian Institute of Technology Bombay#Environmental Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8179#9702
Indian Institute of Technology Bombay#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#493#1691
Indian Institute of Technology Bombay#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1792#4173
Indian Institute of Technology Bombay#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2576#4428
Indian Institute of Technology Bombay#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5426#7599
Indian Institute of Technology Mandi#B.Tech in General Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8456#11108
Indian Institute of Technology Mandi#B.Tech in General Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11401#18595
Indian Institute of Technology Mandi#B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10218#13217
Indian Institute of Technology Mandi#B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18931#21028
Indian Institute of Technology Mandi#B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3113#3938
Indian Institute of Technology Mandi#B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8841#9085
Indian Institute of Technology Mandi#B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4265#6632
Indian Institute of Technology Mandi#B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9114#9931
Indian Institute of Technology Mandi#Bio Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12350#14322
Indian Institute of Technology Mandi#Bio Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18296#20009
Indian Institute of Technology Mandi#BS in Chemical Sciences (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#11246#15317
Indian Institute of Technology Mandi#BS in Chemical Sciences (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#22146#22180
Indian Institute of Technology Mandi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10645#12137
Indian Institute of Technology Mandi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17932#19552
Indian Institute of Technology Mandi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1426#2710
Indian Institute of Technology Mandi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4715#6012
Indian Institute of Technology Mandi#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2914#3834
Indian Institute of Technology Mandi#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7575#8467
Indian Institute of Technology Mandi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4863#6460
Indian Institute of Technology Mandi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9915#12412
Indian Institute of Technology Mandi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8059#9886
Indian Institute of Technology Mandi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15646#18026
Indian Institute of Technology Mandi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6963#9218
Indian Institute of Technology Mandi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15428#17462
Indian Institute of Technology Delhi#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3596#5139
Indian Institute of Technology Delhi#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7081#9291
Indian Institute of Technology Delhi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1791#2361
Indian Institute of Technology Delhi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3730#5442
Indian Institute of Technology Delhi#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#2463#3996
Indian Institute of Technology Delhi#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#6008#7173
Indian Institute of Technology Delhi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2867#4237
Indian Institute of Technology Delhi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7402#8893
Indian Institute of Technology Delhi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#16#115
Indian Institute of Technology Delhi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#91#419
Indian Institute of Technology Delhi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#120#185
Indian Institute of Technology Delhi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#621#724
Indian Institute of Technology Delhi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#354#576
Indian Institute of Technology Delhi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#879#1693
Indian Institute of Technology Delhi#Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#589#792
Indian Institute of Technology Delhi#Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1894#2213
Indian Institute of Technology Delhi#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1774#2785
Indian Institute of Technology Delhi#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5324#5965
Indian Institute of Technology Delhi#Engineering and Computational Mechanics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#823#1160
Indian Institute of Technology Delhi#Engineering and Computational Mechanics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1914#2532
Indian Institute of Technology Delhi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#172#2562
Indian Institute of Technology Delhi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4816#5723
Indian Institute of Technology Delhi#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3146#4015
Indian Institute of Technology Delhi#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7838#9028
Indian Institute of Technology Delhi#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#135#350
Indian Institute of Technology Delhi#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#432#815
Indian Institute of Technology Delhi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#357#429
Indian Institute of Technology Delhi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#1002#1198
Indian Institute of Technology Delhi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#947#1757
Indian Institute of Technology Delhi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2814#4077
Indian Institute of Technology Delhi#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2082#3213
Indian Institute of Technology Delhi#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5534#7229
Indian Institute of Technology Delhi#Textile Technology (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4529#6100
Indian Institute of Technology Delhi#Textile Technology (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10345#10958
Indian Institute of Technology Indore#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7553#8861
Indian Institute of Technology Indore#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13708#14003
Indian Institute of Technology Indore#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8202#9937
Indian Institute of Technology Indore#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14585#16636
Indian Institute of Technology Indore#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#895#1320
Indian Institute of Technology Indore#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1970#2768
Indian Institute of Technology Indore#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2217#3393
Indian Institute of Technology Indore#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5308#6992
Indian Institute of Technology Indore#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5834#7808
Indian Institute of Technology Indore#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10052#11731
Indian Institute of Technology Indore#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1777#2164
Indian Institute of Technology Indore#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3535#3871
Indian Institute of Technology Indore#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4980#6970
Indian Institute of Technology Indore#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9203#13222
Indian Institute of Technology Indore#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8652#10681
Indian Institute of Technology Indore#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14726#17070
Indian Institute of Technology Indore#Space Sciences and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6048#7044
Indian Institute of Technology Indore#Space Sciences and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11835#13253
Indian Institute of Technology Kharagpur#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3397#4514
Indian Institute of Technology Kharagpur#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8448#8512
Indian Institute of Technology Kharagpur#Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3012#4974
Indian Institute of Technology Kharagpur#Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#8971#11076
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1348#9371
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#16050#16434
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#9474#10542
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#16210#18581
Indian Institute of Technology Kharagpur#Applied Geology (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#9848#11971
Indian Institute of Technology Kharagpur#Applied Geology (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#18510#19695
Indian Institute of Technology Kharagpur#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Gender-Neutral#13944#19542
Indian Institute of Technology Kharagpur#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Female-only (including Supernumerary)#17836#21656
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5696#7751
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12174#13280
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#2418#9237
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#13489#15198
Indian Institute of Technology Kharagpur#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2967#4605
Indian Institute of Technology Kharagpur#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6790#8787
Indian Institute of Technology Kharagpur#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#4892#6015
Indian Institute of Technology Kharagpur#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#10696#11555
Indian Institute of Technology Kharagpur#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#9568#11867
Indian Institute of Technology Kharagpur#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#16588#18465
Indian Institute of Technology Kharagpur#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4776#6442
Indian Institute of Technology Kharagpur#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11247#12877
Indian Institute of Technology Kharagpur#Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#6449#7737
Indian Institute of Technology Kharagpur#Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#14856#15348
Indian Institute of Technology Kharagpur#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#164#261
Indian Institute of Technology Kharagpur#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#523#702
Indian Institute of Technology Kharagpur#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#279#599
Indian Institute of Technology Kharagpur#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#1203#1346
Indian Institute of Technology Kharagpur#Economics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#3888#5395
Indian Institute of Technology Kharagpur#Economics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#11017#12359
Indian Institute of Technology Kharagpur#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1156#1723
Indian Institute of Technology Kharagpur#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3438#3949
Indian Institute of Technology Kharagpur#Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1758#2200
Indian Institute of Technology Kharagpur#Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#2329#5140
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#562#1144
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2186#2372
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1321#1639
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#3412#3970
Indian Institute of Technology Kharagpur#Exploration Geophysics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#8957#11127
Indian Institute of Technology Kharagpur#Exploration Geophysics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#18749#19398
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2837#3667
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7741#9158
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3693#5268
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#9580#13375
Indian Institute of Technology Kharagpur#Instrumentation Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2050#2334
Indian Institute of Technology Kharagpur#Instrumentation Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5594#6095
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4632#5483
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10097#11920
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#5552#6980
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#13443#14560
Indian Institute of Technology Kharagpur#Mathematics and Computing (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#915#1353
Indian Institute of Technology Kharagpur#Mathematics and Computing (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#2195#3723
Indian Institute of Technology Kharagpur#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2530#3120
Indian Institute of Technology Kharagpur#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6476#7331
Indian Institute of Technology Kharagpur#Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3284#4639
