Institute#Academic Program Name#Quota#Seat Type#Gender#Opening Rank#Closing Rank
Indian Institute of Technology Bhubaneswar#Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#11219#11770
Indian Institute of Technology Bhubaneswar#Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#18956#18956
Indian Institute of Technology Bhubaneswar#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9175#14275
Indian Institute of Technology Bhubaneswar#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17898#21407
Indian Institute of Technology Bhubaneswar#Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#14409#14786
Indian Institute of Technology Bhubaneswar#Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#23095#23095
Indian Institute of Technology Bombay#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#772#2614
Indian Institute of Technology Bombay#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2697#4628
Indian Institute of Technology Bombay#BS in Mathematics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#1059#1704
Indian Institute of Technology Bombay#BS in Mathematics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#2702#3173
Indian Institute of Technology Bombay#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1509#2642
Indian Institute of Technology Bombay#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3069#5332
Indian Institute of Technology Bombay#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#5243#8101
Indian Institute of Technology Bombay#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#5019#14327
Indian Institute of Technology Bombay#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2290#4209
Indian Institute of Technology Bombay#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6178#7857
Indian Institute of Technology Bombay#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1#67
Indian Institute of Technology Bombay#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#56#291
Indian Institute of Technology Bombay#Economics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#1370#2102
Indian Institute of Technology Bombay#Economics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#2715#5963
Indian Institute of Technology Bombay#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#142#469
Indian Institute of Technology Bombay#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#573#1286
Indian Institute of Technology Bombay#Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#563#966
Indian Institute of Technology Bombay#Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#2250#3007
Indian Institute of Technology Bombay#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1762#2731
Indian Institute of Technology Bombay#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4565#5965
Indian Institute of Technology Bombay#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#321#1135
Indian Institute of Technology Bombay#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2925#4566
Indian Institute of Technology Bombay#Environmental Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3005#5400
Indian Institute of Technology Bombay#Environmental Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8179#10623
Indian Institute of Technology Bombay#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#493#1692
Indian Institute of Technology Bombay#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1792#4173
Indian Institute of Technology Bombay#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2708#4511
Indian Institute of Technology Bombay#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5426#7838
Indian Institute of Technology Mandi#B.Tech in General Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8456#11674
Indian Institute of Technology Mandi#B.Tech in General Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18725#18857
Indian Institute of Technology Mandi#B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10218#13776
Indian Institute of Technology Mandi#B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18931#21599
Indian Institute of Technology Mandi#B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3113#4111
Indian Institute of Technology Mandi#B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8841#9114
Indian Institute of Technology Mandi#B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4265#6632
Indian Institute of Technology Mandi#B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11401#11768
Indian Institute of Technology Mandi#Bio Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#12350#14927
Indian Institute of Technology Mandi#Bio Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18296#20009
Indian Institute of Technology Mandi#BS in Chemical Sciences (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#11246#15989
Indian Institute of Technology Mandi#BS in Chemical Sciences (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#23604#23882
Indian Institute of Technology Mandi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#10645#12825
Indian Institute of Technology Mandi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#17932#20858
Indian Institute of Technology Mandi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1426#2763
Indian Institute of Technology Mandi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4715#6192
Indian Institute of Technology Mandi#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2914#3860
Indian Institute of Technology Mandi#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7575#8467
Indian Institute of Technology Mandi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4863#6552
Indian Institute of Technology Mandi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9915#12435
Indian Institute of Technology Mandi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8059#10906
Indian Institute of Technology Mandi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#18026#18749
Indian Institute of Technology Mandi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6963#9651
Indian Institute of Technology Mandi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15428#17462
Indian Institute of Technology Delhi#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3596#5340
Indian Institute of Technology Delhi#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7081#9291
Indian Institute of Technology Delhi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1791#2361
Indian Institute of Technology Delhi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3730#5442
Indian Institute of Technology Delhi#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#2463#4216
Indian Institute of Technology Delhi#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#6618#7402
Indian Institute of Technology Delhi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2867#4309
Indian Institute of Technology Delhi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7614#9020
Indian Institute of Technology Delhi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#16#118
Indian Institute of Technology Delhi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#91#419
Indian Institute of Technology Delhi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#120#185
Indian Institute of Technology Delhi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#621#724
Indian Institute of Technology Delhi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#354#576
Indian Institute of Technology Delhi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#879#1693
Indian Institute of Technology Delhi#Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#589#792
Indian Institute of Technology Delhi#Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1894#2213
Indian Institute of Technology Delhi#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1774#2785
Indian Institute of Technology Delhi#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5324#6008
Indian Institute of Technology Delhi#Engineering and Computational Mechanics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#823#1160
Indian Institute of Technology Delhi#Engineering and Computational Mechanics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2477#2752
Indian Institute of Technology Delhi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#172#2563
Indian Institute of Technology Delhi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4816#6549
Indian Institute of Technology Delhi#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3146#4055
Indian Institute of Technology Delhi#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8080#10030
Indian Institute of Technology Delhi#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#135#350
Indian Institute of Technology Delhi#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#432#815
Indian Institute of Technology Delhi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#357#429
Indian Institute of Technology Delhi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#1002#1198
Indian Institute of Technology Delhi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#947#1768
Indian Institute of Technology Delhi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2814#4077
Indian Institute of Technology Delhi#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2082#3249
Indian Institute of Technology Delhi#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5534#7229
Indian Institute of Technology Delhi#Textile Technology (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4529#6448
Indian Institute of Technology Delhi#Textile Technology (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10345#11055
Indian Institute of Technology Indore#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7553#9297
Indian Institute of Technology Indore#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14003#14726
Indian Institute of Technology Indore#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8202#10496
Indian Institute of Technology Indore#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14994#16859
Indian Institute of Technology Indore#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#914#1336
Indian Institute of Technology Indore#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1970#2768
Indian Institute of Technology Indore#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2217#3467
Indian Institute of Technology Indore#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5754#7527
Indian Institute of Technology Indore#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5834#7955
Indian Institute of Technology Indore#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11731#13594
Indian Institute of Technology Indore#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1809#2173
Indian Institute of Technology Indore#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3535#3871
Indian Institute of Technology Indore#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4980#7144
Indian Institute of Technology Indore#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9203#13222
Indian Institute of Technology Indore#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8652#11409
Indian Institute of Technology Indore#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15007#17543
Indian Institute of Technology Indore#Space Sciences and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6048#7372
Indian Institute of Technology Indore#Space Sciences and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11835#13253
Indian Institute of Technology Kharagpur#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3397#4724
Indian Institute of Technology Kharagpur#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8496#9120
Indian Institute of Technology Kharagpur#Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#4542#5057
Indian Institute of Technology Kharagpur#Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#11076#12507
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1348#9654
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#16050#16434
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#10128#11151
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#16210#18756
Indian Institute of Technology Kharagpur#Applied Geology (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#10331#12376
Indian Institute of Technology Kharagpur#Applied Geology (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#18510#20382
Indian Institute of Technology Kharagpur#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Gender-Neutral#13944#21073
Indian Institute of Technology Kharagpur#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Female-only (including Supernumerary)#17836#21656
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5696#7931
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12174#13369
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#2418#9278
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#13489#15198
Indian Institute of Technology Kharagpur#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2967#4662
Indian Institute of Technology Kharagpur#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6790#8787
Indian Institute of Technology Kharagpur#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#4892#6162
Indian Institute of Technology Kharagpur#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#10696#11555
Indian Institute of Technology Kharagpur#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#9884#12665
Indian Institute of Technology Kharagpur#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#16588#18465
Indian Institute of Technology Kharagpur#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4776#6657
Indian Institute of Technology Kharagpur#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11247#13128
Indian Institute of Technology Kharagpur#Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#7150#8150
Indian Institute of Technology Kharagpur#Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#14856#15421
Indian Institute of Technology Kharagpur#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#164#277
Indian Institute of Technology Kharagpur#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#523#702
Indian Institute of Technology Kharagpur#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#279#604
Indian Institute of Technology Kharagpur#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#1203#1346
Indian Institute of Technology Kharagpur#Economics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#3888#5576
Indian Institute of Technology Kharagpur#Economics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#11017#12359
Indian Institute of Technology Kharagpur#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1204#1723
Indian Institute of Technology Kharagpur#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3438#4213
Indian Institute of Technology Kharagpur#Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1758#2200
Indian Institute of Technology Kharagpur#Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#2329#5308
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#562#1156
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2186#2372
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1321#1639
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#3412#3970
Indian Institute of Technology Kharagpur#Exploration Geophysics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#8957#11496
Indian Institute of Technology Kharagpur#Exploration Geophysics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#19398#19695
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2837#3751
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7741#9158
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#4125#5369
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#9580#13375
Indian Institute of Technology Kharagpur#Instrumentation Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2050#2334
Indian Institute of Technology Kharagpur#Instrumentation Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5594#6095
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4784#5718
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10097#12566
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#5552#7257
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#13443#14560
Indian Institute of Technology Kharagpur#Mathematics and Computing (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#915#1353
Indian Institute of Technology Kharagpur#Mathematics and Computing (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#2195#3723
Indian Institute of Technology Kharagpur#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2657#3242
Indian Institute of Technology Kharagpur#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6476#7331
Indian Institute of Technology Kharagpur#Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3284#4653
